Stock,Date,Buy/Sell
TNX,10/16/2019,1
TNX,6/3/2020,1
TNX,10/3/2019,1
TNX,6/3/2020,1
TNX,11/11/2019,1
TNX,12/5/2019,1
TSLA,2/13/2019,1
TSLA,4/5/2019,1
TSLA,6/13/2019,1
TSLA,9/9/2019,1
TSLA,10/11/2019,1
TSLA,12/13/2019,1
TSLA,4/6/2020,1
TSLA,8/17/2020,1
TSLA,9/23/2020,1
TSLA,7/1/2019,1
TSLA,9/13/2019,1
TSLA,4/20/2020,1
TSLA,11/12/2020,1
TSLA,7/5/2019,1
TSLA,9/26/2019,1
TSLA,4/29/2020,1
TSLA,7/30/2019,1
TSLA,9/16/2019,1
TSLA,8/26/2019,1
TWTR,3/20/2019,1
TWTR,6/18/2019,1
TWTR,7/10/2019,1
TWTR,8/27/2019,1
TWTR,11/26/2019,1
TWTR,2/6/2020,1
TWTR,4/13/2020,1
TWTR,7/13/2020,1
TWTR,9/24/2020,1
TWTR,11/25/2020,1
TWTR,4/2/2019,1
TWTR,7/24/2019,1
TWTR,12/30/2019,1
TWTR,5/7/2020,1
TWTR,3/26/2019,1
TWTR,7/15/2019,1
TWTR,12/26/2019,1
TWTR,5/4/2020,1
TWTR,7/9/2020,1
TWTR,6/6/2019,1
TWTR,2/21/2020,1
TWTR,6/6/2019,1
TWTR,2/11/2020,1
TWTR,10/28/2019,1
AAPL,5/14/2019,0
AAPL,8/7/2019,0
AAPL,2/25/2020,0
AAPL,9/14/2020,0
AAPL,10/28/2020,0
AAPL,5/17/2019,0
AAPL,8/15/2019,0
AAPL,2/27/2020,0
AAPL,9/23/2020,0
AAPL,10/27/2020,0
AAPL,5/24/2019,0
AAPL,3/6/2020,0
AAPL,10/2/2020,0
AAPL,6/11/2019,0
AAPL,3/18/2020,0
AAPL,7/22/2019,0
AAPL,4/7/2020,0
AMZN,5/15/2019,0
AMZN,7/30/2019,0
AMZN,9/25/2019,0
AMZN,11/15/2019,0
AMZN,12/11/2019,0
AMZN,1/27/2020,0
AMZN,2/28/2020,0
AMZN,5/13/2020,0
AMZN,7/31/2020,0
AMZN,9/14/2020,0
AMZN,10/27/2020,0
AMZN,11/17/2020,0
