Stock,Date,Buy/Sell,JSON File Name,Sentiment Score
TWTR,3202019,1,TWTR03202019,
TWTR,6182019,1,TWTR06182019,
TWTR,7102019,1,TWTR07102019,0.6369
TWTR,8272019,1,TWTR08272019,0.2732
TWTR,11262019,1,TWTR11262019,-0.6249
TWTR,2062020,1,TWTR02062020,0.997
TWTR,4132020,1,TWTR04132020,-0.5423
TWTR,7132020,1,TWTR07132020,0
TWTR,9242020,1,TWTR09242020,0.5719
TWTR,11252020,1,TWTR11252020,-0.886
TWTR,4022019,1,TWTR04022019,
TWTR,7242019,1,TWTR07242019,0.3818
TWTR,12302019,1,TWTR12302019,
TWTR,5072020,1,TWTR05072020,
TWTR,3262019,1,TWTR03262019,
TWTR,7152019,1,TWTR07152019,0.89
TWTR,12262019,1,TWTR12262019,0
TWTR,5042020,1,TWTR05042020,-0.8806
TWTR,7092020,1,TWTR07092020,-0.8085
TWTR,6062019,1,TWTR06062019,0.3662
TWTR,2212020,1,TWTR02212020,0.8232
TWTR,6062019,1,TWTR06062019,0.3662
TWTR,2112020,1,TWTR02112020,0.1655
TWTR,10282019,1,TWTR10282019,0.6597
AAPL,5142019,0,AAPL05142019,-0.6041
AAPL,8072019,0,AAPL08072019,0.9832
AAPL,2252020,0,AAPL02252020,-0.7962
AAPL,9142020,0,AAPL09142020,-0.2263
AAPL,10282020,0,AAPL10282020,0.9957
AAPL,5172019,0,AAPL05172019,-0.9127
AAPL,8152019,0,AAPL08152019,0.9299
AAPL,2272020,0,AAPL02272020,0.7882
AAPL,9232020,0,AAPL09232020,0.9744
AAPL,10272020,0,AAPL10272020,0.9851
AAPL,5242019,0,AAPL05242019,-0.6036
AAPL,3062020,0,AAPL03062020,0.4215
AAPL,10022020,0,AAPL10022020,0.9768
AAPL,6112019,0,AAPL06112019,0.9901
AAPL,3182020,0,AAPL03182020,-0.9899
AAPL,7222019,0,AAPL07222019,0.9915
AAPL,4072020,0,AAPL04072020,0.9587
AMZN,5152019,0,AMZN05152019,0.9534
AMZN,7302019,0,AMZN07302019,0.9474
AMZN,9252019,0,AMZN09252019,0.9998
AMZN,11152019,0,AMZN11152019,0.994
AMZN,12112019,0,AMZN12112019,0.9947
AMZN,1272020,0,AMZN01272020,0.9827
AMZN,2282020,0,AMZN02282020,0.8338
AMZN,5132020,0,AMZN05132020,0.9922
AMZN,7312020,0,AMZN07312020,0.9989
AMZN,9142020,0,AMZN09142020,0.999
AMZN,10272020,0,AMZN10272020,0.9997
AMZN,11172020,0,AMZN11172020,0.9993
AMZN,12152020,0,AMZN12152020,0.9981
AMZN,1122021,0,AMZN01122021,0.9829
AMZN,6042019,0,AMZN06042019,-0.7783
AMZN,8132019,0,AMZN08132019,0.7269
AMZN,12112019,0,AMZN12112019,0.9947
AMZN,3162020,0,AMZN03162020,0.9969
AMZN,9292020,0,AMZN09292020,0.999
AMZN,11162020,0,AMZN11162020,0.9666
AMZN,5292019,0,AMZN05292019,0.9928
AMZN,8052019,0,AMZN08052019,0.9762
AMZN,11182019,0,AMZN11182019,0.9778
AMZN,12112019,0,AMZN12112019,0.9947
AMZN,3052020,0,AMZN03052020,0.9274
AMZN,9172020,0,AMZN09172020,0.9981
AMZN,10282020,0,AMZN10282020,0.9885
AMZN,11172020,0,AMZN11172020,0.9993
AMZN,8152019,0,AMZN08152019,0.9929
AMZN,3252020,0,AMZN03252020,0.9929
AMZN,11182020,0,AMZN11182020,0.9901
AMZN,9112019,0,AMZN09112019,0.9794
AMZN,11182020,0,AMZN11182020,0.9901
AMZN,12112020,0,AMZN12112020,0.9701
BTC,3072019,0,BTC03072019,
BTC,6082019,0,BTC06082019,
BTC,7162019,0,BTC07162019,
BTC,8182019,0,BTC08182019,
BTC,9212019,0,BTC09212019,
BTC,10182019,0,BTC10182019,
BTC,11132019,0,BTC11132019,
BTC,12142019,0,BTC12142019,
BTC,2232020,0,BTC02232020,
BTC,5262020,0,BTC05262020,
BTC,6162020,0,BTC06162020,
BTC,7192020,0,BTC07192020,
BTC,8262020,0,BTC08262020,
BTC,9292020,0,BTC09292020,
BTC,10032020,0,BTC10032020,
BTC,7302019,0,BTC07302019,
BTC,8292019,0,BTC08292019,
BTC,11242019,0,BTC11242019,
BTC,3062020,0,BTC03062020,
BTC,6292020,0,BTC06292020,
BTC,9092020,0,BTC09092020,
BTC,7242019,0,BTC07242019,
BTC,8182019,0,BTC08182019,
BTC,9112019,0,BTC09112019,
BTC,11192019,0,BTC11192019,
BTC,2292020,0,BTC02292020,
BTC,6212020,0,BTC06212020,
BTC,6242020,0,BTC06242020,
BTC,9062020,0,BTC09062020,
BTC,9062019,0,BTC09062019,
BTC,3142020,0,BTC03142020,
BTC,9202019,0,BTC09202019,
BTC,3272020,0,BTC03272020,
BTC,10182020,0,BTC10182020,
BTC,10262019,0,BTC10262019,
BTC,3252020,0,BTC03252020,
FB,2272019,0,FB02272019,0.3818
FB,3222019,0,FB03222019,-0.7744
FB,5162019,0,FB05162019,-0.7579
FB,7312019,0,FB07312019,-0.7615
FB,9262019,0,FB09262019,-0.1208
FB,12172019,0,FB12172019,-0.4565
FB,1312020,0,FB01312020,-0.9359
FB,2242020,0,FB02242020,-0.4773
FB,7022020,0,FB07022020,-0.9865
FB,7282020,0,FB07282020,0.9938
FB,9152020,0,FB09152020,-0.992
FB,11192020,0,FB11192020,-0.9802
FB,12182020,0,FB12182020,-0.7851
FB,6062019,0,FB06062019,0.7506
FB,8192019,0,FB08192019,0.9081
FB,2252020,0,FB02252020,0.9793
FB,10022020,0,FB10022020,0.7057
FB,12312020,0,FB12312020,0.4195
FB,6032019,0,FB06032019,0.5232
FB,8092019,0,FB08092019,-0.4503
FB,2112020,0,FB02112020,0.9652
