,Stock,Date,Buy/Sell,JSON File Name,Sentiment Score
435,FB,02272019,0,FB02272019,0.3818
436,FB,03222019,0,FB03222019,-0.7744
437,FB,05162019,0,FB05162019,-0.7579
438,FB,07312019,0,FB07312019,-0.7615
439,FB,09262019,0,FB09262019,-0.1208
440,FB,12172019,0,FB12172019,-0.4565
441,FB,01312020,0,FB01312020,-0.9359
442,FB,02242020,0,FB02242020,-0.4773
443,FB,07022020,0,FB07022020,-0.9865
444,FB,07282020,0,FB07282020,0.9938
445,FB,09152020,0,FB09152020,-0.992
446,FB,11192020,0,FB11192020,-0.9802
447,FB,12182020,0,FB12182020,-0.7851
448,FB,06062019,0,FB06062019,0.7506
449,FB,08192019,0,FB08192019,0.9081
450,FB,02252020,0,FB02252020,0.9793
451,FB,10022020,0,FB10022020,0.7057
452,FB,12312020,0,FB12312020,0.4195
453,FB,06032019,0,FB06032019,0.5232
454,FB,08092019,0,FB08092019,-0.4503
455,FB,02112020,0,FB02112020,0.9652
456,FB,02252020,0,FB02252020,0.9793
457,FB,09222020,0,FB09222020,-0.9603
458,FB,12212020,0,FB12212020,-0.4588
459,FB,10012019,0,FB10012019,-0.9881
460,FB,03202020,0,FB03202020,-0.5719
461,FB,08262019,0,FB08262019,-0.2654
462,FB,03092020,0,FB03092020,-0.9022
463,FB,01082021,0,FB01082021,0.624
464,FB,03272020,0,FB03272020,-0.296
465,Gold,03032019,0,Gold03032019,
466,Gold,04032019,0,Gold04032019,
467,Gold,05232019,0,Gold05232019,
468,Gold,09102019,0,Gold09102019,-0.2263
469,Gold,10022019,0,Gold10022019,
470,Gold,11102019,0,Gold11102019,
471,Gold,02122020,0,Gold02122020,0.2732
472,Gold,03162020,0,Gold03162020,0.25
473,Gold,05032020,0,Gold05032020,
474,Gold,06012020,0,Gold06012020,0.9758
475,Gold,08182020,0,Gold08182020,0.8357
476,Gold,09082020,0,Gold09082020,0.6369
477,Gold,09112020,0,Gold09112020,0.8594
478,Gold,09222020,0,Gold09222020,
479,Gold,10292020,0,Gold10292020,0.9382
480,Gold,03172019,0,Gold03172019,
481,Gold,09292019,0,Gold09292019,
482,Gold,03242020,0,Gold03242020,
483,Gold,09172020,0,Gold09172020,0.8875
484,Gold,09302019,0,Gold09302019,0.7506
485,Gold,11062019,0,Gold11062019,0.7351
486,Gold,03182020,0,Gold03182020,0.8779
487,Gold,06072020,0,Gold06072020,
488,Gold,09172020,0,Gold09172020,0.8875
489,Gold,11172019,0,Gold11172019,0.6808
490,Gold,11102020,0,Gold11102020,-0.7102
491,Gold,11112019,0,Gold11112019,
492,Gold,10302020,0,Gold10302020,0.8658
493,GOOG,02282019,0,GOOG02282019,0.0
494,GOOG,04052019,0,GOOG04052019,-0.7717
495,GOOG,05062019,0,GOOG05062019,0.8225
496,GOOG,08152019,0,GOOG08152019,0.9825
497,GOOG,10032019,0,GOOG10032019,0.9839
498,GOOG,12032019,0,GOOG12032019,-0.9965
499,GOOG,02272020,0,GOOG02272020,0.8968
500,GOOG,06292020,0,GOOG06292020,0.9548
501,GOOG,08032020,0,GOOG08032020,0.9993
502,GOOG,09142020,0,GOOG09142020,0.9726
503,GOOG,12172020,0,GOOG12172020,0.9863
504,GOOG,05172019,0,GOOG05172019,-0.4404
505,GOOG,03092020,0,GOOG03092020,0.5095
506,GOOG,09292020,0,GOOG09292020,0.9803
507,GOOG,01122021,0,GOOG01122021,-0.6588
508,GOOG,05092019,0,GOOG05092019,0.7096
509,GOOG,03022020,0,GOOG03022020,0.929
510,GOOG,09172020,0,GOOG09172020,-0.9489
511,GOOG,01122021,0,GOOG01122021,-0.6588
512,GOOG,06212019,0,GOOG06212019,0.9364
513,GOOG,03312020,0,GOOG03312020,0.25
514,GOOG,03162020,0,GOOG03162020,0.9894
515,GOOG,10062020,0,GOOG10062020,0.9949
516,GOOG,04212020,0,GOOG04212020,0.8689
517,MRNA,03142019,0,MRNA03142019,
518,MRNA,05152019,0,MRNA05152019,
519,MRNA,10022019,0,MRNA10022019,
520,MRNA,12122019,0,MRNA12122019,
521,MRNA,01082020,0,MRNA01082020,
522,MRNA,02122020,0,MRNA02122020,0.3818
523,MRNA,06032020,0,MRNA06032020,0.936
524,MRNA,07062020,0,MRNA07062020,0.97
525,MRNA,08072020,0,MRNA08072020,-0.25
526,MRNA,10262020,0,MRNA10262020,0.9737
527,MRNA,12232020,0,MRNA12232020,0.9358
528,MRNA,05222019,0,MRNA05222019,
529,MRNA,10102019,0,MRNA10102019,
530,MRNA,01092020,0,MRNA01092020,0.0
531,MRNA,02212020,0,MRNA02212020,0.5994
532,MRNA,08192020,0,MRNA08192020,0.7717
533,MRNA,06032019,0,MRNA06032019,
534,MRNA,10222019,0,MRNA10222019,
535,MRNA,08282020,0,MRNA08282020,0.9001
536,MRNA,06112019,0,MRNA06112019,
537,MRNA,09112020,0,MRNA09112020,-0.4404
538,MRNA,06272019,0,MRNA06272019,
539,MRNA,10192020,0,MRNA10192020,0.6322
540,MSFT,05152019,0,MSFT05152019,0.802
541,MSFT,05302019,0,MSFT05302019,0.8981
542,MSFT,08062019,0,MSFT08062019,0.8847
543,MSFT,09042019,0,MSFT09042019,0.9905
544,MSFT,10032019,0,MSFT10032019,0.9647
545,MSFT,02272020,0,MSFT02272020,0.9658
546,MSFT,06032020,0,MSFT06032020,0.9805
547,MSFT,07272020,0,MSFT07272020,0.9788
548,MSFT,09142020,0,MSFT09142020,0.7714
549,MSFT,10282020,0,MSFT10282020,0.9919
550,MSFT,11302020,0,MSFT11302020,0.9806
551,MSFT,12142020,0,MSFT12142020,0.9562
552,MSFT,01122021,0,MSFT01122021,0.4767
553,MSFT,08262019,0,MSFT08262019,0.988
554,MSFT,03132020,0,MSFT03132020,0.9982
555,MSFT,09292020,0,MSFT09292020,-0.8442
556,MSFT,12152020,0,MSFT12152020,0.969
557,MSFT,08152019,0,MSFT08152019,0.5725
558,MSFT,08222019,0,MSFT08222019,-0.0516
559,MSFT,09182019,0,MSFT09182019,0.9689
560,MSFT,10092019,0,MSFT10092019,0.765
561,MSFT,03042020,0,MSFT03042020,0.09
562,MSFT,09152020,0,MSFT09152020,0.9615
563,MSFT,10292020,0,MSFT10292020,0.998
564,MSFT,12152020,0,MSFT12152020,0.969
565,MSFT,03202020,0,MSFT03202020,0.9945
566,MSFT,04242020,0,MSFT04242020,0.9778
567,MSFT,11162020,0,MSFT11162020,0.9803
568,MSFT,11182020,0,MSFT11182020,0.8887
569,Silver,02142019,0,Silver02142019,
570,Silver,03032019,0,Silver03032019,
571,Silver,04012019,0,Silver04012019,
572,Silver,07092019,0,Silver07092019,
573,Silver,09152019,0,Silver09152019,
574,Silver,10242019,0,Silver10242019,
575,Silver,11102019,0,Silver11102019,
576,Silver,12052019,0,Silver12052019,
577,Silver,01192020,0,Silver01192020,
578,Silver,03022020,0,Silver03022020,
579,Silver,04282020,0,Silver04282020,
580,Silver,06112020,0,Silver06112020,
581,Silver,08272020,0,Silver08272020,
582,Silver,09142020,0,Silver09142020,
583,Silver,10302020,0,Silver10302020,
584,Silver,11252020,0,Silver11252020,
585,Silver,10082019,0,Silver10082019,
586,Silver,02162020,0,Silver02162020,
587,Silver,02272020,0,Silver02272020,
588,Silver,09282020,0,Silver09282020,
589,Silver,12082020,0,Silver12082020,
590,Silver,10032019,0,Silver10032019,
